english	localized	language
lba	lba	bs_Cyrl
ldt	ldt	bs_Cyrl
left	lijevo	bs_Cyrl
len	len	bs_Cyrl
length	length	bs_Cyrl
lengths	lengths	bs_Cyrl
level	level	bs_Cyrl
lib	lib	bs_Cyrl
lidt	lidt	bs_Cyrl
lidtaddr	lidtaddr	bs_Cyrl
limit	limit	bs_Cyrl
line	Linija	bs_Cyrl
link	Veza	bs_Cyrl
linked	linked	bs_Cyrl
linker	linker	bs_Cyrl
list	list	bs_Cyrl
listen	listen	bs_Cyrl
listening	listening	bs_Cyrl
live	live	bs_Cyrl
load	Opterećenje	bs_Cyrl
loader	loader	bs_Cyrl
local	lokalna	bs_Cyrl
log	log	bs_Cyrl
logical	logical	bs_Cyrl
loop	loop	bs_Cyrl
low	low	bs_Cyrl
lseek	lseek	bs_Cyrl
lstat	lstat	bs_Cyrl
m	m	bs_Cyrl
mac	mac	bs_Cyrl
machine	machine	bs_Cyrl
magicnumber	magicnumber	bs_Cyrl
main	главни	bs_Cyrl
make	make	bs_Cyrl
malloc	malloc	bs_Cyrl
manager	manager	bs_Cyrl
map	map	bs_Cyrl
mask	Maska	bs_Cyrl
master	master	bs_Cyrl
matches	matches	bs_Cyrl
max	max	bs_Cyrl
maximum	Najviše	bs_Cyrl
mb	mb	bs_Cyrl
mbr	mbr	bs_Cyrl
media	media	bs_Cyrl
mem	mem	bs_Cyrl
memory	Memorija	bs_Cyrl
memorymananger	memorymananger	bs_Cyrl
memorytest	memorytest	bs_Cyrl
memsz	memsz	bs_Cyrl
mesg	mesg	bs_Cyrl
message	Poruka	bs_Cyrl
mics	mics	bs_Cyrl
mid	mid	bs_Cyrl
minimum	minimum	bs_Cyrl
mode	Režim	bs_Cyrl
model	model	bs_Cyrl
mouse	Miš	bs_Cyrl
mousemove	mousemove	bs_Cyrl
move	Premjesti	bs_Cyrl
msdospart	msdospart	bs_Cyrl
msg	msg	bs_Cyrl
mtime	mtime	bs_Cyrl
multi	multi	bs_Cyrl
multiboot	multiboot	bs_Cyrl
multitasking	multitasking	bs_Cyrl
my	my	bs_Cyrl
myfunction	myfunction	bs_Cyrl
m긴급로그	m긴급로그	bs_Cyrl
m긴급로그문자열	m긴급로그문자열	bs_Cyrl
m직렬로그초기화	m직렬로그초기화	bs_Cyrl
m출력	m출력	bs_Cyrl
m테스트	m테스트	bs_Cyrl
n	n	bs_Cyrl
name	Naziv	bs_Cyrl
namesz	namesz	bs_Cyrl
net	net	bs_Cyrl
network	Mreža	bs_Cyrl
new	Nova	bs_Cyrl
next	Sljedeće	bs_Cyrl
nibble	nibble	bs_Cyrl
nlink	nlink	bs_Cyrl
nmi	nmi	bs_Cyrl
node	node	bs_Cyrl
nodename	nodename	bs_Cyrl
noexec	noexec	bs_Cyrl
none	Nijedan	bs_Cyrl
normal	običan	bs_Cyrl
norw	norw	bs_Cyrl
not	not	bs_Cyrl
note	Bilješka	bs_Cyrl
nsec	nsec	bs_Cyrl
num	num	bs_Cyrl
number	Broj	bs_Cyrl
o	o	bs_Cyrl
of	of	bs_Cyrl
offset	offset	bs_Cyrl
ok	Uredu	bs_Cyrl
old	old	bs_Cyrl
on	Uključen	bs_Cyrl
only	only	bs_Cyrl
opcode	opcode	bs_Cyrl
open	Otvori	bs_Cyrl
oper	oper	bs_Cyrl
operation	operation	bs_Cyrl
options	Opcije	bs_Cyrl
order	order	bs_Cyrl
org	org	bs_Cyrl
other	Drugo	bs_Cyrl
out	Poslato	bs_Cyrl
output	Izlaz	bs_Cyrl
overflow	overflow	bs_Cyrl
p	p	bs_Cyrl
packet	packet	bs_Cyrl
packets	packets	bs_Cyrl
paddr	paddr	bs_Cyrl
page	Stranica	bs_Cyrl
pages	pages	bs_Cyrl
paging	paging	bs_Cyrl
param	param	bs_Cyrl
parameter	parameter	bs_Cyrl
params	Parametri	bs_Cyrl
parent	parent	bs_Cyrl
parse	parse	bs_Cyrl
part	part	bs_Cyrl
partition	partition	bs_Cyrl
partitions	partitions	bs_Cyrl
path	Staza	bs_Cyrl
pause	Pauza	bs_Cyrl
payload	payload	bs_Cyrl
pci	pci	bs_Cyrl
pde	pde	bs_Cyrl
pdelen	pdelen	bs_Cyrl
peer	peer	bs_Cyrl
pending	pending	bs_Cyrl
per	per	bs_Cyrl
peripheral	peripheral	bs_Cyrl
phentsize	phentsize	bs_Cyrl
phnum	phnum	bs_Cyrl
phoff	phoff	bs_Cyrl
phy	phy	bs_Cyrl
phyaddr	phyaddr	bs_Cyrl
phymem	phymem	bs_Cyrl
phys	phys	bs_Cyrl
physical	physical	bs_Cyrl
pic	pic	bs_Cyrl
pid	pid	bs_Cyrl
pit	pit	bs_Cyrl
pixel	pixel	bs_Cyrl
point	point	bs_Cyrl
pointer	pointer	bs_Cyrl
pointers	pointers	bs_Cyrl
poll	poll	bs_Cyrl
port	port	bs_Cyrl
portnumber	portnumber	bs_Cyrl
pos	pos	bs_Cyrl
position	položaj	bs_Cyrl
posix	posix	bs_Cyrl
prefetch	prefetch	bs_Cyrl
prefetchable	prefetchable	bs_Cyrl
present	present	bs_Cyrl
prev	prev	bs_Cyrl
primary	primary	bs_Cyrl
print	Štampaj	bs_Cyrl
printf	printf	bs_Cyrl
println	println	bs_Cyrl
printreg	printreg	bs_Cyrl
priv	priv	bs_Cyrl
private	Privatno	bs_Cyrl
privilege	privilege	bs_Cyrl
proc	proc	bs_Cyrl
process	process	bs_Cyrl
processes	processes	bs_Cyrl
processing	processing	bs_Cyrl
program	program	bs_Cyrl
programmable	programmable	bs_Cyrl
protocol	protocol	bs_Cyrl
provided	provided	bs_Cyrl
provider	provider	bs_Cyrl
ps	ps	bs_Cyrl
pt	pt	bs_Cyrl
pte	pte	bs_Cyrl
ptr	ptr	bs_Cyrl
push	push	bs_Cyrl
put	put	bs_Cyrl
pv	Sv	bs_Cyrl
queue	queue	bs_Cyrl
r	č	bs_Cyrl
range	range	bs_Cyrl
raw	raw	bs_Cyrl
rdev	rdev	bs_Cyrl
read	Čitaj	bs_Cyrl
ready	ready	bs_Cyrl
receive	receive	bs_Cyrl
received	received	bs_Cyrl
receiver	receiver	bs_Cyrl
receviced	receviced	bs_Cyrl
record	record	bs_Cyrl
rectangle	rectangle	bs_Cyrl
recv	recv	bs_Cyrl
ref	ref	bs_Cyrl
refs	refs	bs_Cyrl
reg	reg	bs_Cyrl
region	region	bs_Cyrl
register	register	bs_Cyrl
registeroffset	registeroffset	bs_Cyrl
registers	registers	bs_Cyrl
regs	regs	bs_Cyrl
regtype	regtype	bs_Cyrl
rel	rel	bs_Cyrl
rela	rela	bs_Cyrl
release	release	bs_Cyrl
released	released	bs_Cyrl
reload	Učitajponovo	bs_Cyrl
relocation	relocation	bs_Cyrl
remaining	remaining	bs_Cyrl
remote	remote	bs_Cyrl
remove	Ukloni	bs_Cyrl
reply	reply	bs_Cyrl
request	request	bs_Cyrl
requested	requested	bs_Cyrl
reserved	reserved	bs_Cyrl
reset	Resetuj	bs_Cyrl
resolve	resolve	bs_Cyrl
restore	restore	bs_Cyrl
result	result	bs_Cyrl
ret	ret	bs_Cyrl
revision	revision	bs_Cyrl
rgb	rgb	bs_Cyrl
right	Desno	bs_Cyrl
root	Korijen	bs_Cyrl
round	round	bs_Cyrl
route	route	bs_Cyrl
rs	rs	bs_Cyrl
rt	rt	bs_Cyrl
run	Pokreni	bs_Cyrl
runnable	runnable	bs_Cyrl
rx	rx	bs_Cyrl
s	s	bs_Cyrl
saved	saved	bs_Cyrl
sc	sc	bs_Cyrl
scan	scan	bs_Cyrl
scancode	scancode	bs_Cyrl
sche	sche	bs_Cyrl
schedule	schedule	bs_Cyrl
scheduler	scheduler	bs_Cyrl
screen	Ekran	bs_Cyrl
secondary	secondary	bs_Cyrl
sect	sect	bs_Cyrl
section	section	bs_Cyrl
sector	sector	bs_Cyrl
sectors	sectors	bs_Cyrl
seek	seek	bs_Cyrl
seg	seg	bs_Cyrl
segment	segment	bs_Cyrl
segments	segments	bs_Cyrl
select	select	bs_Cyrl
selector	selector	bs_Cyrl
self	self	bs_Cyrl
send	Pošalji	bs_Cyrl
sequencer	sequencer	bs_Cyrl
serial	serial	bs_Cyrl
set	skup	bs_Cyrl
setup	setup	bs_Cyrl
sh	sh	bs_Cyrl
shared	shared	bs_Cyrl
shentsize	shentsize	bs_Cyrl
shift	shift	bs_Cyrl
shndx	shndx	bs_Cyrl
shnum	shnum	bs_Cyrl
shoff	shoff	bs_Cyrl
shstrndx	shstrndx	bs_Cyrl
signature	signature	bs_Cyrl
simd	simd	bs_Cyrl
size	Veličina	bs_Cyrl
