english	localized	source	evidence_count
uint	uint	fallback-English	0
uintptr	uintptr	fallback-English	0
uname	uname	fallback-English	0
unhandle	unhandle	fallback-English	0
unhandled	unhandled	fallback-English	0
unit	Unidade	gettext	5
unset	Nãodefinido	gettext	1
unused	nãoutilizado	gettext	1
up	Paracima	gettext	10
update	Atualizar	gettext	11
usable	usable	fallback-English	0
use	Utilizar	gettext	2
used	Utilizado	gettext	6
user	utilizador	curated-seed	25
userhandler	userhandler	fallback-English	0
usermode	Mododeutilizador	gettext	5
userproc	userproc	fallback-English	0
util	utilitário	curated-seed	0
util콘솔	util콘솔	fallback-English	0
uts	uts	fallback-English	0
utsname	utsname	fallback-English	0
v	v	fallback-English	0
vaddr	vaddr	fallback-English	0
val	val	fallback-English	0
value	Valor	gettext	19
values	Valores	gettext	1
vector	vector	fallback-English	0
vendor	Fabricante	gettext	2
ver	ver	fallback-English	0
version	Versão	gettext	7
vfs	vfs	fallback-English	0
vga	vga	fallback-English	0
video	Vídeo	gettext	6
virt	virt	fallback-English	0
virtlen	virtlen	fallback-English	0
virtmem	virtmem	fallback-English	0
virtual	virtual	curated-seed	0
volume	volume	fallback-English	0
w	e	gettext	5
wait	Esperar	gettext	1
waitpid	waitpid	fallback-English	0
wdata	wdata	fallback-English	0
when	when	fallback-English	0
whence	whence	fallback-English	0
widget	componente	curated-seed	0
width	Largura	gettext	6
word	palavra	curated-seed	6
writable	writable	fallback-English	0
write	escrever	curated-seed	12
writer	writer	fallback-English	0
x	x	fallback-English	0
xy	xy	fallback-English	0
y	S	gettext	1
zero	zero	fallback-English	0
값	값	fallback-English	0
공용서술자테이블	공용서술자테이블	fallback-English	0
기준	기준	fallback-English	0
기준주소	기준주소	fallback-English	0
낮은	낮은	fallback-English	0
넷카드콘솔	넷카드콘솔	fallback-English	0
높은	높은	fallback-English	0
단말기	단말기	fallback-English	0
마우스콘솔	마우스콘솔	fallback-English	0
매개값	매개값	fallback-English	0
