go run tools/verify_country_sources.go
country source structure OK: 249/249
python3 tools/refine_country_names.py --check
TWN zh_Hans PASS NOT_RUN NOT_RUN
TWN zh_Hant PASS NOT_RUN NOT_RUN
SRB sr_Cyrl PASS NOT_RUN NOT_RUN
SRB sr_Latn PASS NOT_RUN NOT_RUN
MNE sr_Cyrl PASS NOT_RUN NOT_RUN
MNE sr_Latn PASS NOT_RUN NOT_RUN
BIH bs_Latn PASS NOT_RUN NOT_RUN
BIH bs_Cyrl PASS NOT_RUN NOT_RUN
python3 tools/install_vbox.py --check
PASS 295 independent VirtualBox launchers
